"","experience","wage_h","logwage_h","school","school_father","school_mother","married","male","d_north","d_centre","d_south","d_partime","d_agri","d_indu","d_pa"
"5145",20,11.1875,2.414797,13,5,5,1,1,1,0,0,0,0,1,0
"51461",12,7.83125,2.058122,13,8,5,1,0,1,0,0,0,0,0,0
"51471",16,23.27,3.147165,13,5,5,1,1,1,0,0,0,0,0,0
"5148",20,9.3975,2.240444,13,5,5,1,0,1,0,0,1,0,1,0
"51491",25,11.1875,2.414797,13,5,5,1,1,1,0,0,0,0,1,0
"5150",20,8.390625,2.127115,13,5,5,1,0,1,0,0,0,0,1,0
"5151",24,20.1375,3.002584,13,8,5,1,1,1,0,0,0,0,1,0
"51521",32,8.670313,2.159905,13,5,5,0,1,1,0,0,0,0,1,0
"51531",33,8.95,2.191653,8,5,5,0,0,1,0,0,0,0,1,0
"5155",25,8.390625,2.127115,13,8,5,1,0,1,0,0,0,0,0,0
"51561",20,10.06875,2.309437,11,0,0,1,1,1,0,0,0,0,0,0
"51571",15,7.924479,2.069957,8,5,0,1,1,1,0,0,0,0,0,1
"51591",20,8.95,2.191653,8,5,5,1,1,1,0,0,0,0,1,0
"51601",24,9.944445,2.297014,8,5,0,1,1,0,0,1,0,0,0,0
"5163",32,8.95,2.191653,8,5,0,1,0,0,0,1,0,0,1,0
"51661",38,18.64583,2.925623,13,5,5,1,1,0,0,1,0,0,0,1
